Date,T1,T2
2018-01-09-11:20:02,-0.031,-0.191
2018-01-09-11:20:07,-0.03,-0.192
2018-01-09-11:20:12,-0.032,-0.19
2018-01-09-11:20:17,-0.032,-0.19
2018-01-09-11:20:22,-0.029,-0.19
2018-01-09-11:20:27,-0.032,-0.19
2018-01-09-11:20:32,-0.033,-0.19
2018-01-09-11:20:37,-0.031,-0.19
2018-01-09-11:20:42,-0.034,-0.188
2018-01-09-11:20:47,-0.035,-0.189
2018-01-09-11:20:52,-0.033,-0.188
2018-01-09-11:20:57,-0.033,-0.188
2018-01-09-11:21:02,-0.034,-0.187
2018-01-09-11:21:07,-0.034,-0.187
2018-01-09-11:21:12,-0.032,-0.185
2018-01-09-11:21:17,-0.034,-0.186
2018-01-09-11:21:22,-0.028,-0.185
2018-01-09-11:21:27,-0.032,-0.184
2018-01-09-11:21:32,-0.031,-0.182
2018-01-09-11:21:37,-0.031,-0.185
2018-01-09-11:21:42,-0.032,-0.185
2018-01-09-11:21:47,-0.031,-0.185
2018-01-09-11:21:52,-0.032,-0.185
2018-01-09-11:21:57,-0.033,-0.182
2018-01-09-11:22:02,-0.03,-0.184
2018-01-09-11:22:07,-0.031,-0.184
2018-01-09-11:22:12,-0.035,-0.184
2018-01-09-11:22:17,-0.031,-0.185
2018-01-09-11:22:22,-0.035,-0.184
2018-01-09-11:22:27,-0.035,-0.181
2018-01-09-11:22:32,-0.033,-0.182
2018-01-09-11:22:37,-0.033,-0.185
2018-01-09-11:22:42,-0.035,-0.179
2018-01-09-11:22:47,-0.035,-0.181
2018-01-09-11:22:52,-0.032,-0.18
2018-01-09-11:22:57,-0.034,-0.178
2018-01-09-11:23:02,-0.031,-0.181
2018-01-09-11:23:07,-0.032,-0.178
2018-01-09-11:23:12,-0.031,-0.18
2018-01-09-11:23:17,-0.032,-0.18
2018-01-09-11:23:22,-0.032,-0.178
2018-01-09-11:23:27,-0.032,-0.178
2018-01-09-11:23:32,-0.033,-0.18
2018-01-09-11:23:37,-0.033,-0.181
2018-01-09-11:23:42,-0.03,-0.178
2018-01-09-11:23:47,-0.033,-0.181
2018-01-09-11:23:52,-0.035,-0.178
2018-01-09-11:23:57,-0.033,-0.178
2018-01-09-11:24:02,-0.036,-0.18
2018-01-09-11:24:07,-0.033,-0.18
2018-01-09-11:24:12,-0.035,-0.178
2018-01-09-11:24:17,-0.034,-0.178
2018-01-09-11:24:22,-0.037,-0.174
2018-01-09-11:24:27,-0.036,-0.176
2018-01-09-11:24:32,-0.032,-0.176
2018-01-09-11:24:37,-0.033,-0.174
2018-01-09-11:24:42,-0.031,-0.174
2018-01-09-11:24:47,-0.032,-0.174
2018-01-09-11:24:52,-0.031,-0.175
2018-01-09-11:24:57,-0.033,-0.174
2018-01-09-11:25:02,-0.032,-0.174
2018-01-09-11:25:07,-0.033,-0.172
2018-01-09-11:25:12,-0.034,-0.172
2018-01-09-11:25:17,-0.033,-0.174
2018-01-09-11:25:22,-0.03,-0.173
2018-01-09-11:25:27,-0.033,-0.172
2018-01-09-11:25:32,-0.035,-0.173
2018-01-09-11:25:37,-0.033,-0.173
2018-01-09-11:25:42,-0.036,-0.171
2018-01-09-11:25:47,-0.035,-0.172
2018-01-09-11:25:52,-0.034,-0.17
2018-01-09-11:25:57,-0.034,-0.17
2018-01-09-11:26:02,-0.035,-0.17
2018-01-09-11:26:07,-0.038,-0.17
2018-01-09-11:26:12,-0.034,-0.17
2018-01-09-11:26:17,-0.034,-0.17
2018-01-09-11:26:22,-0.034,-0.17
2018-01-09-11:26:27,-0.034,-0.166
2018-01-09-11:26:32,-0.033,-0.168
2018-01-09-11:26:37,-0.033,-0.169
2018-01-09-11:26:42,-0.033,-0.169
2018-01-09-11:26:47,-0.034,-0.169
2018-01-09-11:26:52,-0.034,-0.17
2018-01-09-11:26:57,-0.033,-0.168
2018-01-09-11:27:02,-0.031,-0.169
